# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
117 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.594482421875 -29777.978515625 -1230.5562744140625 1 0116.png

118 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.59130859375 -29788.001953125 -1230.5113525390625 1 0117.png

119 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.58837890625 -29798.025390625 -1230.4664306640625 1 0118.png

120 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.585205078125 -29808.05078125 -1230.42138671875 1 0119.png

121 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.58203125 -29818.07421875 -1230.37646484375 1 0120.png

122 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.5791015625 -29828.099609375 -1230.3314208984375 1 0121.png

123 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.575927734375 -29838.123046875 -1230.2864990234375 1 0122.png

124 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.572998046875 -29848.1484375 -1230.2415771484375 1 0123.png

125 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.56982421875 -29858.171875 -1230.196533203125 1 0124.png

126 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.566650390625 -29868.1953125 -1230.151611328125 1 0125.png

127 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.563720703125 -29878.220703125 -1230.106689453125 1 0126.png

128 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.560546875 -29888.244140625 -1230.0616455078125 1 0127.png

129 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.5576171875 -29898.26953125 -1230.0167236328125 1 0128.png

130 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.554443359375 -29908.29296875 -1229.9718017578125 1 0129.png

131 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.55126953125 -29918.31640625 -1229.9267578125 1 0130.png

132 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.54833984375 -29928.341796875 -1229.8818359375 1 0131.png

133 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.545166015625 -29938.365234375 -1229.8367919921875 1 0132.png

134 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.5419921875 -29948.390625 -1229.7918701171875 1 0133.png

135 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.5390625 -29958.4140625 -1229.7469482421875 1 0134.png

136 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.535888671875 -29968.4375 -1229.701904296875 1 0135.png

137 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.532958984375 -29978.462890625 -1229.656982421875 1 0136.png

